"","fat","NIR1","NIR2","NIR3","NIR4","NIR5","NIR6","NIR7","NIR8","NIR9","NIR10","NIR11","NIR12","NIR13","NIR14","NIR15","NIR16","NIR17","NIR18","NIR19","NIR20","NIR21","NIR22","NIR23","NIR24","NIR25","NIR26","NIR27","NIR28","NIR29","NIR30","NIR31","NIR32","NIR33","NIR34","NIR35","NIR36","NIR37","NIR38","NIR39","NIR40","NIR41","NIR42","NIR43","NIR44","NIR45","NIR46","NIR47","NIR48","NIR49","NIR50","NIR51","NIR52","NIR53","NIR54","NIR55","NIR56","NIR57","NIR58","NIR59","NIR60","NIR61","NIR62","NIR63","NIR64","NIR65","NIR66","NIR67","NIR68","NIR69","NIR70","NIR71","NIR72","NIR73","NIR74","NIR75","NIR76","NIR77","NIR78","NIR79","NIR80","NIR81","NIR82","NIR83","NIR84","NIR85","NIR86","NIR87","NIR88","NIR89","NIR90","NIR91","NIR92","NIR93","NIR94","NIR95","NIR96","NIR97","NIR98","NIR99","NIR100"
"1",22.5,2.62467779593058,2.61714066775139,2.66115190379916,2.63262592023911,2.60093268438991,2.64094761455164,2.61234263055984,2.61539423947182,2.63667415362804,2.62152116390836,2.60506307359799,2.62576412274146,2.62829805729202,2.62098743624493,2.64221722087809,2.66778587322175,2.6596916167658,2.65861302788418,2.66304538812908,2.67107432000982,2.67295024348646,2.68970898676825,2.68068378566023,2.69784712016594,2.71575475809153,2.72457780087826,2.72666011181471,2.70436339641121,2.72613886213037,2.75659370705816,2.75254646314101,2.76229892481568,2.7765484333055,2.79303551065201,2.80247181386837,2.81184114077572,2.8384045902123,2.84400489918175,2.85961711747005,2.87002975489124,2.89904845780465,2.9063876149874,2.96074527071531,2.93052154001148,2.94363162097766,2.9461890696106,2.9512667199824,2.98637987438512,2.98476453679838,3.03405256836556,3.07536353878736,3.1128974183367,3.15381655130241,3.19373219009655,3.26547382572333,3.34874023533808,3.33606054845361,3.35132233972548,3.38563973137586,3.38063662679924,3.38767453401053,3.39205921636697,3.40645311254538,3.39157221859556,3.37959954376321,3.41589565976309,3.38532259996634,3.39366281254372,3.37503758768133,3.3695752527467,3.36798608759984,3.36327336249052,3.33726556637025,3.33247330749927,3.29561294257329,3.29210951388893,3.27969145491137,3.25496575068475,3.2679064148166,3.20987848154761,3.21880956155144,3.15604045604286,3.1737118428172,3.15810022522006,3.13434882245465,3.10434614722813,3.08592512324616,3.051208611669,3.06049643754937,3.04450083365081,3.00334632796997,2.99394303249395,2.95772126309716,2.93098343126894,2.91758581118645,2.90289491755724,2.87864863203765,2.86006718889494,2.81693367082783,2.81432462326292
"2",40.1,2.83125439041775,2.82433343428096,2.85273286558259,2.83480425740988,2.87532814539697,2.85652738129423,2.87145956258076,2.86356396051998,2.86354250440538,2.86592785553612,2.86700418645185,2.89180722855333,2.89004188426215,2.86993476395492,2.9171183654987,2.93364359875019,2.924458044894,2.95746164978085,2.94494019419239,2.9671350354759,2.99154212521441,3.00496231062139,2.98502296205445,3.00283060111307,3.03068513906485,3.02828978166139,3.04486892636142,3.05317239472062,3.06848965622077,3.0972754714983,3.11317692472001,3.13501078176047,3.13137159731248,3.15158360282443,3.1608599554985,3.19659572562595,3.22981748541682,3.2323188177129,3.25981820125797,3.2805027044705,3.27557026687691,3.28557443588926,3.29607527123306,3.31116649901275,3.28564426997041,3.28973053144272,3.3164018455042,3.27312632524403,3.29478845386434,3.33314952443767,3.38550336131815,3.36807786306829,3.3861408928419,3.438983411374,3.46032298913342,3.48488380941484,3.4819752913693,3.54035530113333,3.54661229286874,3.55374310578016,3.54871936871172,3.55418716538941,3.54782202685555,3.54652189892326,3.57693041969781,3.55645045034084,3.58179711888689,3.55245773419698,3.52745747781256,3.53960761370598,3.51895724074036,3.51000058182271,3.5250539549353,3.51920162236878,3.50207653819891,3.47772615682177,3.48651084619002,3.4797319734558,3.44904818781049,3.44998035431976,3.43487393233914,3.43268707639744,3.41467489023777,3.40118315986545,3.3985555366762,3.36248465938721,3.36050991683264,3.35563471972739,3.34563811529293,3.31375849398129,3.3021495145054,3.32184310603589,3.28625150229669,3.25509584826578,3.25864441945753,3.24252910411044,3.23049918113423,3.21402204506958,3.18963998959566,3.12583397019153
"3",8.4,2.57434676715485,2.60408318659966,2.59139671864888,2.5904552932833,2.58438177006889,2.58069043006541,2.59990325444259,2.5886478599778,2.59909409009815,2.60724327042932,2.62570376981586,2.59624889057507,2.59773088448326,2.62691662955993,2.60892261333879,2.61538178176413,2.61969946316463,2.63528882803116,2.63708862572103,2.63174960974681,2.65274636307016,2.65044975073213,2.64627734791541,2.65931745882885,2.6748423064126,2.6623808761742,2.6616008510927,2.72466190428251,2.6787445450551,2.68434930239673,2.68135116359933,2.6908157108859,2.70260608468803,2.71117748349026,2.73138393814023,2.71826328279322,2.74695480196016,2.76409087776154,2.74763759226658,2.76217450749122,2.77409243912946,2.79664566798901,2.82445980566123,2.80958526392285,2.81151065044086,2.84324079482157,2.85844384770875,2.8877413910508,2.91806339665291,2.93541297051679,2.97860356618883,3.00967626231796,3.05209225372688,3.07870910868684,3.09445530215577,3.14765005995319,3.1638250280478,3.18629521099231,3.1804258863541,3.17892358137265,3.16584181941516,3.19882022727627,3.2021910845579,3.17421727802308,3.16570563170009,3.17283518712062,3.15172662699011,3.13654932617973,3.10771692020319,3.10966356453041,3.11069709694846,3.09701344306884,3.05452394484664,3.04833883006451,3.02116567161093,3.02502760321679,2.98719828533843,2.98127958017988,2.96091876176877,2.93018618937615,2.93200847868,2.90570990186825,2.86248801158599,2.81260810242105,2.85217692265825,2.82134218225806,2.78770181070909,2.77038844115446,2.76336607687542,2.7454347344601,2.70957456438257,2.68648322839728,2.67651332995149,2.65229137110916,2.61317965273082,2.61852098673795,2.57259566889913,2.59059587624252,2.55822802554142,2.52877319765978
"4",5.9,2.80867198620846,2.84190809778991,2.8388509624911,2.82000477413701,2.82371220181327,2.82100683296785,2.84918903711757,2.8460389101769,2.83905095196055,2.84546687397504,2.85913267223956,2.8596554445464,2.84613688534291,2.84347652216746,2.85403308996101,2.87357869849756,2.85489315642194,2.88980560033713,2.87210549484084,2.85605859618606,2.88370881837712,2.88135182945426,2.9106098853283,2.8891155297484,2.90945036608001,2.89729295359964,2.91379778619301,2.92228821180871,2.91688150067892,2.96430468893264,2.93261419956565,2.9475592303579,2.95323453390487,2.94148591484456,2.9521530192458,2.99230111383909,2.97085330542363,2.96936343666202,2.99632323293646,2.98651172724809,3.01121737288399,3.02011054982262,3.02944893455681,3.05701868652893,3.08513089127851,3.10739578916131,3.12879641704792,3.12684784266224,3.16562133475972,3.19999382859259,3.22565437800998,3.27106936814675,3.29904780674122,3.37111464807726,3.40224655237855,3.43490903046783,3.45794469857493,3.49047910690813,3.51471195240493,3.51571746018046,3.50765945816298,3.49530089637216,3.49757844974606,3.51890945616141,3.51381057175595,3.51649514134689,3.50200380977746,3.49524565485984,3.46927345131064,3.45746278771515,3.45871500342177,3.41951359195459,3.44283101191384,3.3999768250512,3.37652480063893,3.33721718525552,3.31053354595473,3.29969408822597,3.31615039904493,3.2766665333812,3.23136795939093,3.21898329871463,3.21357388027068,3.17592817036626,3.16465239849459,3.12121413206457,3.09287637668019,3.09056804141979,3.02730824315015,3.05243571546228,3.0040822033529,2.97781156276779,2.97428490979563,2.91618255731956,2.90880727044565,2.87420149044865,2.84450252153741,2.86364277085118,2.82772077402713,2.79550736352868
"5",25.5,2.78926356964439,2.79168070359265,2.78836724781158,2.79070044878305,2.80737554157101,2.78776309266047,2.8016504523181,2.81533766223863,2.80907321667795,2.79792959918826,2.82477073195766,2.80582497951571,2.81976391633828,2.83898100450402,2.84015250755918,2.84056832089009,2.83851517743077,2.86067640014333,2.86558903605295,2.87603421536272,2.88266812989129,2.87114849939699,2.90472603919038,2.8936353313552,2.90986806469154,2.94418367742958,2.92977596456848,2.95354821622712,2.97962939736364,2.97753335937101,2.98608983135524,3.01707871342384,2.9938785975986,3.01197347117928,3.03949996582063,3.05039102067064,3.08761393542519,3.11167521686226,3.13490672264179,3.16181565950142,3.17293879856105,3.16768389475736,3.212843236439,3.19497544400614,3.22239459234968,3.22869014697259,3.24393380435934,3.26724648486671,3.26410065297916,3.31094420108131,3.32687336414112,3.37914861682642,3.4502180719704,3.49249554582482,3.55801918340117,3.60495986662651,3.66361891366665,3.68541662501989,3.67636764259187,3.75101102507116,3.71219804778787,3.72478635075671,3.73078243525891,3.73350291123625,3.74318465871144,3.76500730285851,3.74036260365006,3.71114351334362,3.72284748142876,3.68472226781182,3.72312947924198,3.69403053746007,3.67753580295979,3.67516490768691,3.62769412267974,3.60648819490546,3.61115085875433,3.59870281679454,3.57520532579419,3.56321903360442,3.56242476429962,3.52379475717216,3.49401375054356,3.49145068149033,3.45836640255579,3.42911492849017,3.41449257288812,3.39619449065323,3.36728770423324,3.35006193565731,3.3125661358009,3.30717046793513,3.30036362487989,3.25378059690315,3.24572826798352,3.21237844017839,3.19601874882305,3.18157257645599,3.15286797772333,3.13471156115869
"6",42.7,3.0159877328001,3.00119096404452,3.02978207182202,3.05270770978922,3.03437269141139,3.02978552426568,3.04731529942735,3.04342730785575,3.06136613450154,3.06673808531594,3.06519521163207,3.0995072750549,3.07873047668709,3.11544019461649,3.1057794360467,3.1526968908525,3.11503359624051,3.13841151789439,3.13564864548137,3.15475068713141,3.16540987847671,3.19425996696453,3.19064340732857,3.19499767701713,3.22162808120818,3.25343199357286,3.23742972581687,3.25288403020048,3.26815273927714,3.2899849406998,3.31810817241106,3.33021632049353,3.33347125977107,3.35923573193204,3.39511632722634,3.42632055121436,3.44595840120568,3.45800684372027,3.50748203119067,3.51032888079252,3.54829948662023,3.53322027393785,3.56353335454338,3.56049167748767,3.55606030311248,3.5278903919342,3.52695041134182,3.52290030931973,3.55393713546846,3.58423778613495,3.56029495194228,3.57973977287972,3.61293392202715,3.64401771254362,3.70050883122206,3.73962323094101,3.76412884892785,3.82559452438061,3.77281693913914,3.81480584614632,3.82377466357912,3.81812511079674,3.7968084121206,3.83173366865416,3.82924212184636,3.87211831923887,3.81562614877693,3.81366829548934,3.8125613818028,3.8111952286347,3.8071216342555,3.79293446514222,3.81417834907362,3.7822387617723,3.75772869877635,3.74726120715501,3.731372500069,3.73535516320523,3.71536732358533,3.69229276960146,3.69812471399607,3.66292970276103,3.67386070609509,3.67115535035781,3.65195197832466,3.6388505825371,3.63940856291588,3.61906001717001,3.6309539364036,3.5914950650375,3.58282215142468,3.56252053805983,3.57063907316365,3.53374881230301,3.52491358202666,3.53487420007344,3.49929413464216,3.48486191027292,3.46721851160725,3.44695277198596
"7",42.7,2.95591573828115,2.99562934345503,2.99776839873141,2.99930550596129,3.00230333045449,3.00012794823164,3.031128068,3.02097769493018,3.03588393424691,3.02942491163245,3.06550174101801,3.07238591216647,3.07256300533914,3.09035433275637,3.07898539793046,3.09378337026057,3.10844187590457,3.11880753140493,3.14320495936098,3.16215839932817,3.16675609722211,3.17244073636562,3.16950663030594,3.21760474275356,3.22434021900985,3.23242989818998,3.23044912844808,3.26303375718306,3.26829927081032,3.28782331035274,3.32152140005441,3.30945088131327,3.35668836442779,3.38228946034292,3.40448535515553,3.43570883655883,3.46076854202045,3.46933078679097,3.4800387267079,3.54069312377444,3.52550108943636,3.54775659484645,3.50716625480366,3.49832970176515,3.4911771369,3.49778252957762,3.49290801270523,3.50325349492797,3.53537418490258,3.55185785840491,3.57629722377062,3.61750188261315,3.64065239952833,3.69556574254404,3.72264265498175,3.71763989367594,3.7589744277832,3.76148892665459,3.74984914542183,3.7378074726032,3.78476224162631,3.78655931931653,3.7609668935406,3.78984474274125,3.77482743891484,3.76316631549253,3.76208150619638,3.76760188563956,3.75320038886621,3.74214397415725,3.73968064958797,3.73218146296725,3.686469227748,3.70099039239759,3.69490293448542,3.69128483749151,3.66026993993192,3.6586201304247,3.6323831326844,3.65131526211001,3.63834969210562,3.62486888342685,3.60409656399783,3.6094902905806,3.57822270892324,3.54537366160024,3.55663516632416,3.54105484826391,3.51975009645563,3.5187711412148,3.51383068702036,3.48911821698004,3.49392818549762,3.46826173424394,3.44451531447565,3.44555278464019,3.42349993331448,3.40031949072955,3.3815129579399,3.38282658170845
"8",10.6,2.53057692763019,2.51246199971282,2.53315359134626,2.54169434104543,2.51429311236218,2.56782957086537,2.55327462556737,2.51798749855442,2.54274334644486,2.51644083953985,2.54460212608661,2.56474405654098,2.54890671332876,2.54931710044349,2.54339516865857,2.56717087098279,2.58402540739942,2.56914262749089,2.59900900346269,2.5606645773353,2.57688191682406,2.58726243312059,2.58043343066984,2.59375772460676,2.60580621133613,2.60897960914627,2.62089916668421,2.59670062541268,2.61281274360846,2.61882418288024,2.63846890089844,2.64583611441779,2.62864785982841,2.65585902342343,2.67445202140599,2.67309487362253,2.65046766859246,2.7087247646259,2.71397120516623,2.73382157610972,2.75465859578969,2.7604503780833,2.77225345883455,2.7780847675457,2.79417684112236,2.83549841491363,2.86051634964947,2.88727457074736,2.89359317674532,2.93774271686473,2.95582525358255,3.03121949030572,3.06450826839332,3.14284028579115,3.17149626553392,3.21402461453426,3.2578008208115,3.2755621893996,3.30115505187508,3.32215123014046,3.30320330306597,3.34108390491159,3.31904562974964,3.35553496493679,3.3267742671316,3.32022141946971,3.23757122760144,3.31517358461364,3.31427564093839,3.30509148733562,3.27709530990646,3.26731225509922,3.24279232812666,3.21495118637777,3.2162477287324,3.22238905743919,3.18889979098018,3.16757383354975,3.13751175003127,3.11874998567982,3.1581590523039,3.09220121097759,3.07618223472344,3.04431851646987,3.03771450954103,3.01399180609115,2.98705047413169,2.95716344620114,2.93761552826753,2.9149064690327,2.89414373791983,2.8533394207579,2.84637847973328,2.82368822143516,2.78786227048057,2.8034595717203,2.77205449834093,2.73995084142111,2.72001317323936,2.69840067358938
"9",19.9,3.27151046325422,3.27940424310507,3.26752556759193,3.29040328853574,3.29502957627866,3.30753582536388,3.32439367155591,3.3314843444923,3.32227114693416,3.3448660308887,3.35463933055513,3.34393290737146,3.35697622189707,3.36692297876578,3.3875980420994,3.38767226792017,3.4022964811777,3.40686167647034,3.45027555424319,3.42977804975218,3.44249406998697,3.46189432928735,3.45555416792624,3.45384119397813,3.49053824960593,3.48718859033867,3.49414705603859,3.51922838745181,3.51914245554642,3.52201531829416,3.5544295675482,3.56287008073802,3.58965539715099,3.5907208806127,3.61837160854408,3.61392880501468,3.62925087388978,3.64492438255475,3.65815226451376,3.67240062045099,3.70256795833422,3.72241238150495,3.7455552117195,3.75514094930008,3.76630105915051,3.77152874123312,3.8056098138657,3.81856558736651,3.86337048092715,3.87624188118152,3.95022877624126,3.96796553886492,4.01315479171861,4.08916595026954,4.12948028889753,4.17113292299423,4.20043926928921,4.22945743974177,4.24790627245552,4.27184325380008,4.2597295082118,4.25017203509086,4.26942799648041,4.27857448284955,4.2900850406813,4.26348089036315,4.28244250347476,4.25539791747387,4.26939873289629,4.2613558040867,4.24764133022477,4.21338080855548,4.21018857049287,4.19450464456959,4.16430349561411,4.16248245695518,4.13118648570108,4.1263659375162,4.11739964575306,4.11820854804673,4.07423062806241,4.05746910562763,4.03075150017148,4.01098074903696,3.9942655366716,3.95598801311349,3.96544090556426,3.91754028977369,3.8931493153137,3.85266483938865,3.84276198110876,3.82824310181619,3.80500206086136,3.79996714703705,3.74642287257146,3.74062990471988,3.72612542441959,3.70464259355144,3.66864805279385,3.65229138690049
"10",19.9,3.39846512832987,3.40428512269536,3.39681273657086,3.42342525939522,3.41358010056802,3.41845919654249,3.43072376068374,3.45482915402701,3.46458670521516,3.47470613813348,3.48001560282483,3.47947101703588,3.48515683409197,3.53061454429934,3.51951850034246,3.52974721372202,3.54363434676709,3.55030665983936,3.56189201304967,3.56067189292993,3.575642737744,3.59694833922845,3.60028002572731,3.62584675372687,3.6327485848903,3.63864560936353,3.63821630812023,3.67892733740078,3.66482660110498,3.66636130081208,3.71621158672843,3.71394851260757,3.72064820419028,3.7784386077842,3.78088450918428,3.77459920772229,3.79587575247009,3.81761079200061,3.83972174651986,3.84837974235288,3.8679956538828,3.88657630351094,3.90716843334483,3.92812563963324,3.93249591393668,3.96826873614104,3.95140712107137,4.0061710023272,4.02876882283517,4.09902273197487,4.16452778226751,4.18505557818298,4.24662701499376,4.29021411330857,4.33307148085533,4.40116453535029,4.40294745504346,4.43354142162449,4.43294520857967,4.45866511174888,4.44879762592012,4.43239547751958,4.46882767694541,4.46886957156846,4.46214818698886,4.47702715644658,4.45114716615761,4.41675386691173,4.43113045788228,4.40838690349998,4.41736181276856,4.40972922606777,4.37548207550724,4.35298983268968,4.34305799624621,4.32202486809367,4.29934780169945,4.29361710656175,4.25812133858843,4.26016973385585,4.21207426940365,4.22156445190344,4.16266212175683,4.15548636055248,4.15042712717137,4.08832215548414,4.07604718811372,4.05083426232986,4.02648178837557,4.0100088080331,3.97181913113853,3.96635457673448,3.93144371087864,3.91453012725678,3.89814704801613,3.85959948299455,3.85393303336475,3.80947988278043,3.77044038633736,3.77792140434025
